_id,Kelurahan,Jumlah sasaran ibu hamil,Jumlah sasaran ibu bersalin/nifas,Jumlah sasaran kelahiran hidup,Jumlah sasaran bayi,Jumlah sasaran balita
1,Kandangan,512,489,465,495,1843
2,Romokalisari,45,43,42,44,226
3,Tambak Oso Wilangon,57,54,52,55,317
4,Pakal,158,151,144,153,786
5,Babat Jerawat,324,309,294,313,1659
6,Sumber Rejo,178,170,162,172,945
7,Benowo,176,168,160,170,890
8,Jeruk,157,150,143,152,738
9,Lakarsantri,149,142,136,144,674
10,Lidah Kulon,230,219,208,222,1146
11,Lidah Wetan,180,172,164,174,935
12,Bangkingan,139,132,126,134,653
13,Sumurwelut,89,85,80,86,464
14,Lontar,411,392,373,397,2191
15,Sambikerep,298,284,271,288,1497
16,Made,169,161,154,163,741
17,Beringin,103,99,94,100,441
18,Tanjungsari,160,153,146,155,730
19,Sonokwijenan,110,105,99,106,472
20,Putat Gede,95,91,86,92,494
21,Simomulyo,343,328,312,332,1577
22,Sukomanunggal,171,163,155,165,847
23,Simomulyo Baru,661,631,600,639,3151
24,Manukan Kulon,527,504,479,510,2331
25,Manukan Wetan,160,153,146,155,760
26,Banjar Sugihan,172,164,157,166,781
27,Karang Poh,244,233,222,236,1171
28,Tandes,132,126,121,128,649
29,Balongsari,175,167,159,169,793
30,Asem Rowo,506,483,460,489,2510
31,Genting Kalianak,124,118,112,120,616
32,Tambak Sarioso,120,115,110,116,533
33,Sememi,744,710,676,719,2974
34,Peneleh,226,216,206,219,911
35,Kapasari,274,262,249,265,1172
36,Genteng,121,115,110,117,554
37,Ketabang,104,100,95,101,404
38,Embong Kaliasin,199,190,180,192,794
39,Kedungdoro,316,302,288,306,1479
40,Tegalsari,272,260,247,263,1224
41,Dr. Soetomo,208,198,189,201,978
42,Keputran,181,173,165,175,820
43,Wonorejo,382,364,347,369,1650
44,Tembok Dukuh,315,301,287,305,1662
45,Jepara,381,363,346,368,1735
46,Alun-Alun Contong,34,33,31,33,310
47,Gundih,419,400,381,405,1905
48,Bubutan,187,179,171,181,904
49,Tambakrejo,214,204,195,207,1208
50,Simokerto,240,229,218,232,1246
51,Kapasan,143,136,130,138,936
52,Simolawang,364,348,331,352,1799
53,Sidodadi,251,240,229,243,1204
54,Perak Timur,225,215,205,218,1082
55,Nyamplungan,114,109,103,110,547
56,Krembangan Utara,265,253,241,256,1248
57,Bongkaran,130,124,119,126,647
58,Perak Utara,355,339,322,343,1678
59,Pegirian,426,407,387,412,2201
60,Ujung,466,445,424,451,2383
61,Sidotopo,444,424,404,429,2207
62,Ampel,355,339,322,343,1494
63,Wonokusumo,1134,1082,1031,1096,5556
64,Krembangan Selatan,174,166,158,168,867
65,Perak Barat,165,158,150,160,830
66,Kemayoran,272,260,247,263,1229
67,Dupak,371,354,338,359,1622
68,Morokrembangan,832,794,756,804,3478
69,Kenjeran,103,99,94,100,513
70,Bulak,329,314,299,318,1570
71,Kedung Cowek,116,111,105,112,566
72,Sukolilo Baru,149,142,135,144,715
73,Kali Kedinding,953,909,866,921,4684
74,Sidotopo Wetan,1062,1014,966,1027,4863
75,Bulak Banteng,684,653,621,661,2876
76,Tambak Wedi,309,295,281,299,1523
77,Rangkah,142,135,129,137,952
78,Tambaksari,141,134,128,136,1047
79,Ploso,264,252,240,255,1951
80,Pacarkeling,262,250,238,253,1377
81,Pacarkembang,504,481,458,487,2621
82,Gading,236,225,214,228,1865
83,Kapasmadya Baru,723,690,658,699,3022
84,Dukuh Setro,338,323,308,327,1672
85,Pucang Sewu,163,156,149,158,854
86,Kertajaya,323,308,293,312,1617
87,Baratajaya,167,159,152,161,845
88,Mojo,704,672,640,681,3129
89,Gubeng,195,187,177,189,927
90,Airlangga,270,258,245,261,1193
91,Kalirungkut,353,337,321,341,1546
92,Rungkut Kidul,233,222,212,225,920
93,Kedung Baruk,271,259,246,262,1163
94,Medokan Ayu,382,364,347,369,2040
95,Penjaringansari,283,270,257,274,1458
96,Wonorejo,245,234,223,237,1329
97,Tenggilis Mejoyo,152,145,138,147,817
98,Panjang Jiwo,154,147,140,149,852
99,Kendangsari,211,201,192,204,1099
100,Kutisari,226,216,206,219,1311
101,Gunung Anyar,380,362,346,367,1697
102,Gunung Anyar Tambak,143,136,130,138,713
